bodyId,type,type_lab,cluster,function,reference
13065,DNge084,DNge084,4,,
13092,DNp60,DNp60,10,,
13096,DNge018,DNge018,0,,
13104,DNpe030,DNpe030,7,,
13130,DNg105,DNg105,10,,
13133,DNge088,DNge088,1,,
13135,DNge122,DNge122,12,,
13137,AN03A008,AN03A008,11,,
13166,AN08B012,AN08B012,12,,
13176,DNg85,DNg85,4,,
13178,DNge039,DNge039,9,,
13181,ANXXX027,ANXXX027,12,,
13186,DNge028,DNge028,9,,
13188,DNg81,DNg81,0,,
13189,AN08B018,AN08B018,2,,
13212,DNp53,DNp53,1,,
13218,DNg95,DNg95,10,,
13229,DNg41,DNg41,1,,
13245,DNp46,DNp46,10,,
13249,DNpe034,DNpe034,8,,
13254,"DNp51,DNpe019","DNp51,DNpe019",1,,
13257,DNp25,DNp25,10,,
13268,DNg52,DNg52,1,,
13277,DNg86,DNg86,1,,
13278,DNge076,DNge076,9,,
13295,DNge033,DNge033,0,,
13317,DNg33,DNg33,8,,
13337,AN08B020,AN08B020,11,,
13341,AN09B017e,AN09B017e,5,pheromone,Clowney 2015
13348,DNg20,DNg20,4,,
13364,DNge022,DNge022,9,,
13366,DNde001,DNde001,10,,
13377,DNg86,DNg86,1,,
13378,ANXXX057,ANXXX057,12,,
13381,ANXXX027,ANXXX027,12,,
13399,ANXXX093,ANXXX093,5,,
13403,DNp21,DNp21,8,,
13410,DNa14,DNa14,10,,
13432,DNg66,DNg66,8,octopamine,Babski 2024
13442,DNg33,DNg33,8,,
13443,DNge096,DNge096,9,,
13444,DNg51,DNg51,3,,
13445,DNge046,DNge046,6,,
13465,ANXXX102,ANXXX102,11,,
13471,ANXXX068,ANXXX068,0,,
13489,AN08B018,AN08B018,2,,
13492,DNge019,DNge019,9,,
13499,DNge106,DNge106,11,,
13503,AN12B017,AN12B017,11,,
13507,DNg51,DNg51,3,,
13508,DNg17,DNg17,9,,
13509,DNa08,DNa08,10,,
13514,DNae008,DNae008,10,,
13525,DNge096,DNge096,9,,
13527,ANXXX027,ANXXX027,12,,
13538,AN03A008,AN03A008,11,,
13539,,na_2,3,,
13552,AN07B018,AN07B018,11,,
13568,DNg41,DNg41,1,,
13570,DNge063,DNge063,10,,
13578,ANXXX109,ANXXX109,3,,
13580,ANXXX027,ANXXX027,12,,
13585,DNg34,DNg34,8,octopamine,"Certel et al., 2010, Babski et al., 2024"
13586,DNpe049,DNpe049,7,,
13615,DNbe006,DNbe006,10,,
13622,DNg73,DNg73,0,,
13624,DNg62,DNg62,9,antennal grooming,"Braun 2024?, Hampel 2015"
13625,DNge137,DNge137,7,,
13627,DNge082,DNge082,7,,
13633,DNg43,DNg43,10,,
13638,DNge002,DNge002,0,,
13649,DNg79,DNg79,10,,
13652,DNge038,DNge038,7,,
13656,AN04B003,AN04B003,11,,
13657,AN12B019,AN12B019,6,,
13685,DNge008,DNge008,3,,
13693,AN09B017e,AN09B017e,5,pheromone,Clowney 2015
13700,DNg51,DNg51,3,,
13714,ANXXX057,ANXXX057,12,,
13734,ANXXX102,ANXXX102,11,,
13743,DNg51,DNg51,3,,
13745,DNpe035,DNpe035,7,,
13758,AN06B040,AN06B040,0,,
13759,DNge010,DNge010,11,,
13771,AN06B004,AN06B004,11,,
13780,AN19B036,AN19B036,6,,
13785,AN09B004,AN09B004,12,,
13792,AN12B019,AN12B019,6,,
13795,DNge100,DNge100,9,,
13803,DNg61,DNg61,9,,
13805,DNg97,DNg97,10,walking,Sapkal 2024
13815,DNpe026,DNpe026,10,,
13826,DNge137,DNge137,7,,
13827,AN08B018,AN08B018,2,,
13833,ANXXX120,ANXXX120,2,,
13845,AN17A026,AN17A026,12,backwards walking,Sen 2019
13852,DNge069,DNge069,9,,
13854,DNg89,DNg89,0,,
13857,DNge139,DNge139,8,,
13873,DNa14,DNa14,10,,
13878,AN17B008,AN17B008,3,,
13883,AN17B005,AN17B005,11,,
13888,DNge172,DNge172,8,reproduction,Braun 2024??
13891,DNg106,DNg106,4,,
13901,AN27X015,AN27X015,11,,
13922,DNb02,DNb02,1,steering,Braun 2024?
13929,AN08B018,AN08B018,2,,
13952,DNg63,DNg63,12,,
13964,,na_3,7,,
13978,DNg79,DNg79,10,,
13994,DNge172,DNge172,8,reproduction,Braun 2024??
13996,DNge131,DNge131,11,,
14010,AN17A026,AN17A026,12,backwards walking,Sen 2019
14014,AN17A002,AN17A002,12,,
14016,AN08B020,AN08B020,11,,
14024,AN17B008,AN17B008,3,,
14026,AN05B004,AN05B004,8,,
14029,DNp65,DNp65,8,,
14034,AN06B004,AN06B004,11,,
14046,DNg42,DNg42,1,,
14048,DNg52,DNg52,1,,
14063,AN27X003,AN27X003,11,,
14067,DNpe003,DNpe003,10,,
14081,AN08B022,AN08B022,11,,
14085,AN09B012,AN09B012,11,,
14095,ANXXX250,ANXXX250,1,,
14096,DNpe003,DNpe003,10,,
14098,DNge044,DNge044,9,,
14113,AN19A018,AN19A018,11,halting,Sapkal 2024
14114,DNg69,DNg69,11,,
14115,AN10B018,AN10B018,11,,
14119,AN09B023,AN09B023,12,,
14121,AN08B010,AN08B010,11,,
14141,DNg42,DNg42,1,,
14151,DNp24,DNp24,7,,
14152,DNpe041,DNpe041,10,,
14154,DNg76,DNg76,0,,
14157,DNge173,DNge173,9,,
14193,AN10B019,AN10B019,6,,
14196,AN10B019,AN10B019,6,,
14213,DNge060,DNge060,11,,
14214,DNg106,DNg106,4,,
14234,DNg64,DNg64,6,,
14239,DNae004,DNae004,1,,
14246,AN17B012,AN17B012,12,,
14247,DNge127,DNge127,11,,
14249,DNge077,DNge077,9,,
14264,DNde003,DNde003,11,,
14265,DNge133,DNge133,4,,
14271,DNae006,DNae006,3,,
14278,DNg73,DNg73,0,,
14306,DNg89,DNg89,0,,
14320,AN09B017g,AN09B017g,5,,
14328,DNpe040,DNpe040,8,,
14332,DNae006,DNae006,3,,
14357,DNg05_a,DNg05_a,3,,
14364,AN10B019,AN10B019,6,,
14375,DNpe003,DNpe003,10,,
14379,AN04B003,AN04B003,11,,
14387,DNge151,DNge151,8,,
14399,DNpe028,DNpe028,10,,
14421,DNge131,DNge131,11,,
14432,DNge113,DNge113,3,,
14446,DNpe014,DNpe014,10,,
14469,AN10B018,AN10B018,11,,
14484,AN06B040,AN06B040,0,,
14498,AN04B003,AN04B003,11,,
14501,DNp28,DNp28,1,,
